FID,HUB,PID,ID,TITLE,MORK1,MORK2,MORK3,MORK4,MORK5,MORK6,WEBLINK,SHAPE_AREA,SHAPE_LEN,Shape__Area,Shape__Length
78,TSR,P6,TSR_6_2,Indigenous action in threatened species research and management,adaptive co-management,knowledge sharing,Indigenous rangers,joint management,IUCN Green List,culturally significant species,https://www.nespthreatenedspecies.edu.au/projects/indigenous-action-in-threatened-species-research-and-management,2.81151110208,14.6308383555,35729686477.166,1650461.24519953
79,TSR,P6,TSR_6_5,Citizen science for threatened species conservation and building community support,western ringtail possum,conservation actions,citizen science,monitoring,community engagement,urban ecology,https://www.nespthreatenedspecies.edu.au/projects/citizen-science-for-threatened-species-conservation-and-building-community-support,3.69948676556,10.8722685705,55207815805.6641,1333436.44568539
80,TSR,P1,TSR_1_1_3,Feral cat control for threatened species in Queensland,feral predator control,feral cat,greater bilby,predation,baiting,bridled nailtail wallaby,https://www.nespthreatenedspecies.edu.au/projects/feral-cat-control-for-threatened-species-in-queensland,0.0104727503093,0.53936856174,141551302.332031,62429.4044938995
81,TSR,P1,TSR_1_3_1,Fire and native flora,fire management,plants,Pomaderris,Boronia,fire,modelling,https://www.nespthreatenedspecies.edu.au/projects/fire-and-native-flora,0.207875879855,5.62214185241,3048418648.12109,679880.140636285
82,TSR,P1,TSR_1_4_1,Mitigating threats to Australian frogs,fire,frog,distribution model,chytrid,amphibians,disease,https://www.nespthreatenedspecies.edu.au/projects/saving-threatened-frogs-with-refuges-from-disease-fish-predation-and-fragmentation,24.9091159616,48.5999752154,373973354493.543,6065454.51710771
83,TSR,P2,TSR_2_3,Enhancing threatened species outcomes on Christmas Island,translocation,island,reptile,feral predator control,flying fox,disease,https://www.nespthreatenedspecies.edu.au/projects/enhancing-threatened-species-outcomes-for-christmas-island,0.011950966697,0.665417820261,150611952.820313,74726.565365167
84,TSR,P2,TSR_2_6,Essential research to secure the buff-breasted button quail,button-quail,threatening process,predator,distribution,critical habitat, ,https://www.nespthreatenedspecies.edu.au/projects/essential-research-to-secure-the-buff-breasted-button-quail,16.3056596074,22.5706964397,208679632543.172,2561216.78469531
85,TSR,P3,TSR_3_2_8,Monitoring bogong moth population change,climate change,bogong moth,mountain pygmy possum,migration,monitoring,managing threats,https://www.nespthreatenedspecies.edu.au/projects/monitoring-bogong-moth-population-change,1.79357394293,21.4549301151,27669171601.2109,2685293.17313174
86,TSR,P4,TSR_4_2_3_4,Detecting cryptic burrowing petrel recovery post-eradication in a remote landscape,eDNA,burrowing petrel,genetics,seabirds,feral predator,monitoring,https://www.nespthreatenedspecies.edu.au/projects/post-eradication-monitoring-on-macquarie-island,0.01832061348,0.840483597484,392203121.328125,136849.801819836
87,TSR,P7,TSR_7_2,Conservation actions for Threatened Ecological Communities, ,state and transition models,recovery planning,threatened ecological communities,expert elicitation,conservation actions,https://www.nespthreatenedspecies.edu.au/projects/conservation-actions-for-threatened-ecological-communities,433.42260536,128.645062321,6149097620101.81,15163711.144159
88,TSR,P7,TSR_7_9,Integrated Enviromental Assessment,integrated environmental assessment,planning,decision making,MNES,development,de-risking investment,https://www.nespthreatenedspecies.edu.au/projects/integrated-environmental-assessment-to-inform-environmental-decisions,377.757278458,119.001278111,5009564531324.71,13575178.0691271
89,TSR,P2,TSR_2_4_1,Development of a national action plan for Australian eucalypts,plants,national action plan,critically endangered,IUCN Red List,threats,extinction,https://www.nespthreatenedspecies.edu.au/projects/developing-a-national-action-plan-for-australian-eucalypts,695.683407364,430.392180242,9653588777038.91,50703538.9531022
90,TSR,P6,TSR_6_6,Key factors for effective partner integration and governance for threatened species recovery,trust building,partnership,recovery planning,collaboration,governance,co-investment,https://www.nespthreatenedspecies.edu.au/projects/key-factors-for-effective-partnering-for-threatened-species-recovery,695.683407364,430.392180242,9653588777038.91,50703538.9531022
